Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Pilos acidofilní mléko plnotučné;256;3.3;2.4;3.6;3.9;3.9;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Pilos kefírové mléko;170;3.3;0.7;1.1;4.1;4.1;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným zákysem, acidofilním mlékem, kyškou apod.
Pilos kysané podmáslí;152;3;0.6;1;3.8;3.8;0.1;0.04;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Pilos jogurtový nápoj broskev;331;3.2;0.8;1.5;13;13;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Pilos jogurtový nápoj malina;331;3.2;0.8;1.5;13;13;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Pilos jogurtový nápoj višeň;314;3.2;0.8;1.5;12;12;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Tesco Kefírové mléko;161;3.3;0.6;1;4;4;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným zákysem, acidofilním mlékem apod.
Tesco Kysané podmáslí;153;3;0.6;1;3.8;3.8;0.1;0.15;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Tesco Yogurt drink;280;2.3;0.5;0.8;11.8;12.3;0.2;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Valašská Kyška;190;3.3;1;1.6;4;4;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Mléčná rýže průměr;560;3;4;6;11.3;17;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Puding se šlehačkou průměr;400;2.8;1.2;2;12;16;0.1;0.2;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Smetanový krém průměr;960;6;10.8;16;13.5;15;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Belriso mléčný rýžový dezert čokoládový;521;3;2.3;3.5;12.8;19.9;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Belriso mléčný rýžový dezert s vanilkovou příchutí;538;3.2;2.4;3.7;13.6;20.3;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Bobík smetanový krém;960;6;10.8;16;13.5;15;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Bohunka sametový dezert;764;2.7;8.2;12.1;14.4;16;0.1;0;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Brits citrón limetka sušenky;552;3.2;3.1;5;16.9;18.4;0.1;0.12;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Brits klikva malina sušenky;552;3.2;3.1;5;16.9;18.4;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Brits pomeranč;525;3.1;3.2;5;15.8;16.9;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Bugs Bunny duo smetanový dezert;963;6;10.7;16.2;12.1;15.4;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Cavalier zlatý dezert (Olma);700;2.1;6.9;11.5;13;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný jogurt nebo tvaroh s trochou čerstvého ovoce.
Cream Pudding Chocolate (K-Classic);678;3.5;5.8;9.2;13;16;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Cream Pudding Vanilla (K-Classic);642;2.8;5.5;8.7;13;16;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Dezert pudingový se šlehačkou (Olma);400;2.8;1.2;2;12;16;0.1;0.2;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Grand dessert (Ehrmann);520;2.8;3.2;5;14;17;0.1;0.15;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Choceňský Nuty;1133;4;9.9;15;26;30;0.1;0.27;
Italieri s limetkovou šťávou a mascarpone;551;3.2;3.3;5.6;16;17;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Italieri s marcipánem a mandlemi;623;4.1;3.4;7;17;17;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Italieri se švestkami, ořechy a rozinkami;555;3.6;3.4;6;15;16;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Italieri zabaglione;535;3.6;3.4;5.9;15;15;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Jihočeská pomazánka vanilková;1284;3.1;16.5;24.5;17;18.9;0.1;0.1;
JoGun ananas a zázvor;539;3.3;3;5;16.8;17.4;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
JoGun liči a černý bez;545;3.4;3;5;17.1;17.7;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
JoGun pitaya a limetka;533;3.4;3;5;16.5;17;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
JoGun pomeranč a opuncie;542;3.4;3;5;17.2;17.5;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Kunín Mléčná krupice Čokoláda;623;3.3;4.4;6;17;20.4;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná krupice Jahoda;606;3;4.2;6;15;19.6;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná krupice Natural;622;3.5;5.1;7.5;13.2;16.7;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná rýže Čokoláda;521;3.1;2.2;3.2;14.5;20.6;0.1;0.15;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná rýže Jahoda;498;2.7;2;2.9;13.8;20.3;0.1;0.13;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná rýže Karamel;561;3;2.2;3.9;15.6;21.5;0.1;0.18;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná rýže Malina, Ostružina;490;2.7;2;2.8;13;20;0.1;0.13;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Mléčná rýže Natural;478;3.2;2;3.4;10.3;17.5;0.1;0.16;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Kunín Pohár mléčný dezert;370;1.6;2.8;4.2;10;11;0.1;0.05;Vhodnější jsou jiné mléčné výrobky, například polotučné jogurty a tvarohy, které více prospěšných látek, zejména bílkovin a vápníku.
Lahůdka delicates 60% čokoláda (Madeta);767;2.8;9;13;14;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lahůdka delicates čokoláda a oříšky (Madeta);767;2.8;9;13;14;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lahůdka delicates medovník (Madeta);767;2.8;9;13;14;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lahůdka delicates průměr (Madeta);800;2.6;9.1;13.5;12.6;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lahůdka delicates vaječný koňak (Madeta);767;2.8;9;13;14;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lahůdka delicates višeň (Madeta);767;2.8;9;13;14;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lahůdka delicates zahradní jahody (Madeta);767;2.8;9;13;14;14;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Liegeois pudink krémový (Zott);430;2.7;1.4;2;13.5;18;0.1;0.24;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Lipánek DUO jahodovo vanilkový;689;8.2;5;7.5;16;16;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lipánek DUO kakaovo banánový;689;8.2;5;7.5;16;16;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lipánek DUO kakaovo vanilkový;782;7.2;7.5;11.4;14;14;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lipánek kakaový;771;7.4;7.3;11;14;14;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lipánek limetkový;771;7.6;6.6;10;16;16;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lipánek průměr;771;7.5;7.4;11;12.6;14;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Lipánek vanilkový;771;7.4;7.3;11;14;14;0.1;0.08;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Milbona Creamy kefír;600;2.4;5.1;7.5;15.4;16.4;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Milbona Fromage Frais and Fruit;504;4.5;2.8;4.2;15;16;0.1;0.1;Raději vybírejte jogurty bez přidaného cukru a s nižším obsahem tuku, ideálně bílé nízkotučné nebo polotučné jogurty, do kterých si můžete přidat trochu ovoce. Občas můžete konzumovat jogurty slazené nízkokalorickým či nekalorickým sladidlem.
Milch Reis Leicht & Lecker Original mléčná rýže;321;3.1;1.5;2.3;3.7;10.7;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například bílé jogurty nebo tvarohy, které obsahují méně sacharidů a obsahují přiznivé kultury.
Milch Reis Leicht & Lecker skořice mléčná rýže;320;2.8;1.7;2.5;5;11.6;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například bílé jogurty nebo tvarohy, které obsahují méně sacharidů a obsahují přiznivé kultury.
Milch Reis Leicht & Lecker třešeň mléčná rýže;303;2.7;1.3;2;3.8;10.6;0.1;0.09;Vhodnější jsou jiné mléčné výrobky, například bílé jogurty nebo tvarohy, které obsahují méně sacharidů a obsahují přiznivé kultury.
Mléčná rýže se smetanou ochucená (K-Classic);640;2.8;4.3;6.5;13;20;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Monte crunchy mléčný dezert;890;3.4;8.6;13.4;13.6;19.2;0.1;0.2;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s ovesnými vločkami, trochou čerstvého ovoce nebo kakaa.
Monte cherry mléčný dezert;756;2.3;7.1;10.7;16.2;18.7;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Monte mléčný dezert;813;2.8;8.6;13.3;13.7;15.9;0.4;0.13;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou kakaa a oříšků nebo čerstvého ovoce.
Olmíci Maty smetanová přesnídávka;690;2.8;6;10;14;16;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou kakaa a oříšků nebo čerstvého ovoce.
Pacholík (Ehrmann);780;4.8;7.1;10.5;16.2;18;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Paula Puding;480;3;2.5;3.9;14;17;0.1;0.2;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Pilos Pochoutka dezert smetanový;718;2.5;8;12;12.4;13.8;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Pribináček;980;7;11;16;13;16;0.1;0.07;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Pribináček Piškotík;995;7.8;5.4;12.4;24.5;24.7;0.1;0.06;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Puding s piškoty (Olma);385;3.2;0;0;14;19;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Riso čokoláda mléčná rýže;462;3.3;1.7;2.5;12.5;18.3;0.1;0.28;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso jahoda mléčná rýže;433;2.9;1.4;2.1;12;17.9;0.1;0.23;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso karamel mléčná rýže;430;3.3;1.6;2.4;10.9;16.7;0.1;0.28;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso malina mléčná rýže;450;3.1;1.4;2.2;12.5;18.4;0.1;0.24;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso mléčná rýže průměr;450;3.2;1.6;2.4;12;18;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso Natural mléčná rýže;427;3.5;1.7;2.6;9.7;15.9;0.1;0.26;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso pistácie mléčná rýže;455;3.2;1.5;2.4;12.5;18.3;0.1;0.26;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso skořice mléčná rýže;459;3.2;1.5;2.4;12.7;18.5;0.1;0.3;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Riso vanilka mléčná rýže;435;3.3;1.6;2.5;11;16.8;0.1;0.26;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Sanée Italský styl;610;2.3;5.6;8.3;13.4;14.6;0.1;0.13;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Sanée s ovocnou příchutí;590;2.3;5.2;7.7;14;15.5;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Sanée stracciatella;669;2.4;6.3;9.3;14.9;16.6;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Sanée zabaglione a mandle;631;2.7;5.5;8.4;14.1;15.3;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Srdíčko puding kakaový;330;1.2;0.5;0.8;12.2;16.3;0.1;0.63;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Srdíčko puding s vanilkovou příchutí;318;1.1;0.5;0.8;11.8;15.7;0.1;0.68;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Sylvester čokoláda smetanový dezert;970;5.6;10.4;16;15;16.7;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Tesco Lumpík s čokoládovou příchutí;970;5.6;10.4;16;14.2;16.7;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Tesco Lumpík s vanilkovou příchutí;955;6.3;10.8;16.4;13.7;14.1;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Tesco Mléčná rýže čokoládová;619;3;4;6.4;13.7;19.5;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Tesco Mléčná rýže Jahoda;562;2.9;4;6;11.3;17;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Tesco Mléčná rýže karamel;664;2.9;4.1;7.2;14.9;20.4;0.1;0.25;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují méně cukru, mají nižší glykemický index a obsahují přiznivé kultury.
Tesco Value Choco dessert;341;1.1;0.7;1;12.5;16.5;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Tesco Value Vanilla dessert;381;2.3;0.6;0.9;14;18;0.1;0.1;Vhodnější jsou jiné mléčné výrobky, například jogurty nebo tvarohy, které obsahují více bílkovin, vitaminů, minerálních látek (zejména vápníku) a přiznivé kultury.
Tweety vanilka smetanový dezert;955;6.3;10.8;16.4;10.7;14.1;0.1;0.1;Vhodnější jsou mléčné výrobky s nižším obsahem tuku a bez přidaného cukru, například si můžete smíchat polotučný či nízkotučný tvaroh nebo jogurt s trochou čerstvého ovoce nebo kakaa.
Bryndza;1200;20.5;14.9;22;1.7;1.7;0;2;Vhodnější jsou sýry s nižším obsahem tuku, například cottage, ricotta, Lučina linie, Philadelphia light apod. Ideální je také připravit si pomazánku z tvarohu, zeleniny a případně nějakého méně tučného sýra.
Cottage 20% průměr;450;12;3.4;5;4;4;0;0.8;Cottage je vhodné zařazovat do jídelníčku.
Kozí sýr čerstvý 45%;1035;16.5;14;19.3;2.4;2.4;0;1.8;Tento výrobek můžete nahradit sýry z kravského mléka s nižším obsahem tuku, například Lučinou linie, cottagem nebo ricottou.
Mascarpone;1630;1.5;27;42;1.5;2.5;0;0.07;Mascarpone se používá často při přípravě dezertů, nahradit ho můžete například ricottou, tvarohem nebo méně tučnou zakysanou smetanou, všechny tyto výrobky obsahují výrazně méně tuku.
Žervé průměr;950;6;13.5;20;4.2;4.7;0;0.6;Vhodnější jsou sýry s nižším obsahem tuku, například cottage, ricotta, Lučina linie, Philadelphia light apod. Ideální je také připravit si pomazánku z tvarohu, zeleniny a případně nějakého méně tučného sýra.
Almette tvarohový sýr 20%;1000;7;14.9;22;3.6;4;0;0.45;Vhodnější jsou sýry s nižším obsahem tuku, například cottage, ricotta, Lučina linie, Philadelphia light apod. Ideální je také připravit si pomazánku z tvarohu, zeleniny a případně nějakého méně tučného sýra.
Blaník Cottage Cheese;455;11;4.9;6;2.7;2.7;0;0.7;Cottage je vhodné zařazovat do jídelníčku.
Blaník Cottage Cheese light;339;11;2;3;2.4;2.4;0;0.64;Cottage je vhodné zařazovat do jídelníčku, můžete konzumovat i klasickou verzi cottage, který obsahuje také poměrně málo tuku.
Boni Žervé 24%;1033;6;16.8;24;2.5;2.5;0;0.6;Vhodnější jsou sýry s nižším obsahem tuku, například cottage, ricotta, Lučina linie, Philadelphia light apod. Ideální je také připravit si pomazánku z tvarohu, zeleniny a případně nějakého méně tučného sýra.
